Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
40642,5.703910465069688,12.798778703733792,Nigeria,Sokoto,Rabah,NASARAWA,1435.5984540000,6772,42,293,69.799999999999997,69,76,160,108,none,none,grid,32320
40643,5.250334912068489,12.798914715468364,Nigeria,Sokoto,Bodinga,BANGI/DABAGA,5307.3574720000,6773,128,1083,68.900000000000006,334,356,848,449,mini-grid,intercon,intercon,13520
40644,5.217156574105406,12.800289339193126,Nigeria,Sokoto,Bodinga,DANCHADI,10710.5527000000,6774,128,2186,73.900000000000006,884,966,3008,1165,mini-grid,intercon,intercon,10030
40645,5.350124392080416,12.807119040193264,Nigeria,Sokoto,Dange-Shuni,BODAI/JURGA,3381.4662690000,6775,165,690,73.000000000000000,175,186,432,249,none,grid,grid,3480
40646,4.824376908872942,12.800125367510475,Nigeria,Sokoto,Yabo,BINJI,3853.9918730000,6776,80,787,71.700000000000003,192,208,456,276,mini-grid,mini-grid,intercon,15850
40647,5.665193341532124,12.827524195953302,Nigeria,Sokoto,Rabah,NASARAWA,4096.6246980000,6777,42,836,69.799999999999997,206,208,464,298,none,mini-grid,intercon,14230
40649,5.851185365721024,12.828388633106705,Nigeria,Sokoto,Rabah,YAR TSAKUWA,1339.4123440000,6779,42,273,80.700000000000003,75,74,224,103,none,none,grid,20840
40650,5.776904923796167,12.845483533607865,Nigeria,Sokoto,Rabah,YAR TSAKUWA,13292.7471400000,6780,42,2713,71.200000000000003,645,682,1592,982,mini-grid,mini-grid,intercon,23310
40652,5.199771866966217,12.824042553119982,Nigeria,Sokoto,Bodinga,MAZAN GARI/JIRGA MIYO,1435.2557650000,6782,128,293,66.099999999999994,89,98,200,119,none,grid,grid,7750
40653,5.019900210714892,12.827078093544833,Nigeria,Sokoto,Yabo,KILGORI,2860.0859430000,6783,111,584,72.200000000000003,154,160,344,201,mini-grid,mini-grid,intercon,9720
40654,4.893361793788305,12.82612228884626,Nigeria,Sokoto,Yabo,BINJI,1141.6009160000,6784,80,233,70.900000000000006,59,64,136,82,none,none,grid,20290
40656,5.32041612365385,12.848119430798453,Nigeria,Sokoto,Dange-Shuni,DANGE,5744.6146660000,6786,160,1172,63.899999999999999,463,524,1080,585,none,grid,grid,3250
40658,5.189867567765037,12.845598394772571,Nigeria,Sokoto,Bodinga,MAZAN GARI/JIRGA MIYO,1647.2426940000,6788,131,336,65.299999999999997,100,110,232,145,none,mini-grid,intercon,5340
40660,5.113289378637671,12.846441699104352,Nigeria,Sokoto,Bodinga,MAZAN GARI/JIRGA MIYO,1824.4776670000,6790,119,372,69.200000000000003,146,168,416,175,none,grid,grid,3880
40661,5.821295202655968,12.860259875706801,Nigeria,Sokoto,Rabah,YAR TSAKUWA,1943.3302200000,6791,42,397,73.799999999999997,100,106,256,142,none,mini-grid,intercon,15840
40662,5.5286891232221,12.860296630140107,Nigeria,Sokoto,Dange-Shuni,WABABE/SALAU,6749.5144860000,6792,28,1377,68.099999999999994,329,306,776,527,mini-grid,mini-grid,intercon,20270
40663,5.395465270082944,12.870472321618823,Nigeria,Sokoto,Dange-Shuni,WABABE/SALAU,2484.4310170000,6793,7,507,64.900000000000006,200,226,488,262,none,grid,grid,4610
40664,5.08785363105061,12.861528085611528,Nigeria,Sokoto,Yabo,BIRNIRUWA,5266.7762030000,6794,119,1075,68.400000000000006,272,258,576,366,none,grid,grid,8260
40665,5.759184024590548,12.880336565860638,Nigeria,Sokoto,Rabah,YAR TSAKUWA,2836.1841700000,6795,42,579,75.799999999999997,154,136,440,194,none,mini-grid,intercon,12940
40666,5.200670836603114,12.871562648170205,Nigeria,Sokoto,Bodinga,KWACCIYAR LALLE,3396.5332050000,6796,131,693,70.000000000000000,181,166,392,255,none,none,grid,4540
40667,5.581895932020998,12.884802731772162,Nigeria,Sokoto,Rabah,RARA,3944.0767580000,6797,28,805,73.200000000000003,192,206,504,287,mini-grid,mini-grid,intercon,9290
40670,5.010402103541029,12.874939941049741,Nigeria,Sokoto,Yabo,BAKALE,1587.2175700000,6800,111,324,73.400000000000006,74,86,200,118,none,none,grid,17750
40671,5.236517647073235,12.88744890294247,Nigeria,Sokoto,Bodinga,KWACCIYAR LALLE,1887.0311870000,6801,143,385,70.299999999999997,150,166,472,194,mini-grid,mini-grid,intercon,9680
40672,5.79849545411656,12.896857141559726,Nigeria,Sokoto,Rabah,GANDI \B\,4826.2516850000,6802,42,985,70.299999999999997,240,246,560,363,mini-grid,mini-grid,intercon,12320
40673,5.331750171993071,12.899718667039604,Nigeria,Sokoto,Dange-Shuni,TSAFANADE,5845.6637430000,6803,162,1193,64.299999999999997,452,522,1136,598,none,grid,grid,2470
40674,5.745969936820741,12.901061788643467,Nigeria,Sokoto,Rabah,TSAMIYA,2055.1065460000,6804,42,419,72.000000000000000,101,108,248,155,none,mini-grid,intercon,10760
40675,5.393553344809268,12.899301355126926,Nigeria,Sokoto,Dange-Shuni,RUGGAR GIDADO,4382.4498870000,6805,7,894,66.000000000000000,278,286,616,370,mini-grid,intercon,intercon,8360
40676,5.434327726815173,12.910597485463111,Nigeria,Sokoto,Dange-Shuni,GIERE/GAJARA,4881.0332500000,6806,7,996,73.599999999999994,253,242,640,340,none,grid,grid,11830
40677,5.779175269610107,12.909613063301435,Nigeria,Sokoto,Rabah,GANDI \B\,1563.8380000000,6807,42,319,68.099999999999994,100,110,240,147,none,mini-grid,intercon,9140
40679,5.728478294570257,12.918339303640945,Nigeria,Sokoto,Rabah,TSAMIYA,1204.8954530000,6809,42,246,69.000000000000000,76,84,184,104,none,none,grid,7380
40680,5.386547331195747,12.917545033070787,Nigeria,Sokoto,Dange-Shuni,RUGGAR GIDADO,1686.4561650000,6810,7,344,67.200000000000003,116,108,248,139,none,grid,grid,10990
40684,4.793667567167303,12.92521555507455,Nigeria,Sokoto,Silame,LABANI,6642.2023260000,6814,13,1356,68.900000000000006,337,336,736,495,mini-grid,intercon,intercon,12020
40685,5.16779532591483,12.929430190084407,Nigeria,Sokoto,Bodinga,TULLUWA/KULAFASA,3652.4305300000,6815,126,745,70.599999999999994,283,336,888,377,none,grid,grid,4340
40686,4.770727154600377,12.92371296615555,Nigeria,Sokoto,Silame,KATAMI SOUTH,2317.0434070000,6816,13,473,71.799999999999997,145,164,400,193,none,grid,grid,9100
40687,4.814215386382305,12.926453500529242,Nigeria,Sokoto,Silame,LABANI,3541.2242730000,6817,13,723,71.799999999999997,182,188,432,263,mini-grid,intercon,intercon,13710
40688,4.901279077399919,12.932132556376772,Nigeria,Sokoto,Silame,LABANI,3432.9910190000,6818,13,701,71.000000000000000,168,180,416,259,mini-grid,intercon,intercon,21180
40689,4.691038243533399,12.931238305303747,Nigeria,Sokoto,Silame,BIRNIN TUDU/GUDALE,3802.6506570000,6819,13,776,63.100000000000001,237,232,504,324,mini-grid,intercon,intercon,9330
40692,5.242701797630964,12.952555192876538,Nigeria,Sokoto,Dange-Shuni,TUNTUBE/TSEHE,3847.0414820000,6822,146,785,69.400000000000006,331,364,880,367,none,grid,grid,4820
40693,5.388028893910812,12.949499696226292,Nigeria,Sokoto,Dange-Shuni,RUGGAR GIDADO,3087.9546980000,6823,7,630,47.100000000000001,193,122,288,254,mini-grid,intercon,intercon,14830
40694,5.707922690008866,12.951558040183818,Nigeria,Sokoto,Rabah,TSAMIYA,3539.8163350000,6824,49,722,57.799999999999997,240,176,432,299,none,grid,grid,2770
