Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
34915,4.35322137913319,6.528237144918614,Nigeria,Ogun,Ogun waterside,ABIGI,1427.2293070000,6291,694,238,61.399999999999999,71,90,168,104,none,mini-grid,intercon,23850
34922,4.573837519684775,6.609185820096456,Nigeria,Ogun,Ogun waterside,AYEDE/LOMIRO,1388.8858340000,6298,694,231,70.099999999999994,62,66,152,82,none,none,grid,60290
34923,4.566618800153426,6.588493987710039,Nigeria,Ogun,Ogun waterside,AYEDE/LOMIRO,1861.7886790000,6299,694,310,65.799999999999997,76,88,168,116,none,mini-grid,intercon,53720
34924,4.564219594737872,6.625443005932357,Nigeria,Ogun,Ogun waterside,AYEDE/LOMIRO,1631.7278350000,6300,694,272,69.099999999999994,67,76,176,99,none,none,grid,58880
34927,4.506697162241646,6.46937394538823,Nigeria,Ogun,Ogun waterside,AYEDE/LOMIRO,1018.2322520000,6303,694,170,64.200000000000003,51,62,128,70,none,none,grid,45870
34934,4.392312411572914,6.364453562612211,Nigeria,Ogun,Ogun waterside,ODE-OMI,2364.5142260000,6310,694,394,63.899999999999999,92,106,208,137,none,none,grid,45410
34937,4.439310180668494,6.350946776157296,Nigeria,Ogun,Ogun waterside,ODE-OMI,2471.0238760000,6313,694,412,67.099999999999994,97,114,248,148,none,none,grid,47840
34957,3.749517353833411,7.064160088353393,Nigeria,Ogun,Remo North,ORILE-OKO,1746.7582570000,6333,679,291,67.700000000000003,68,88,184,106,none,mini-grid,intercon,10900
34983,4.550172083313559,6.315204487676515,Nigeria,Ogun,Ogun waterside,AHERI,1904.3925390000,6359,694,317,60.000000000000000,78,84,152,109,none,mini-grid,intercon,63120
34991,3.704781217479606,7.434294963740354,Nigeria,Ogun,Odeda,ERINWUSI/KOGUO/ODETOLA,1866.0490650000,6367,680,311,69.099999999999994,75,90,200,106,none,grid,grid,6620
35008,4.286975737368383,6.601720477548704,Nigeria,Ogun,Ogun waterside,ONI,3323.1010750000,6384,694,554,79.299999999999997,132,174,528,201,none,mini-grid,intercon,21440
35009,3.591708559570526,7.437722687976606,Nigeria,Ogun,Odeda,ILUGUN,1278.1157980000,6385,675,213,73.500000000000000,52,62,168,77,none,grid,grid,4530
35018,4.396956454958807,6.504255562533973,Nigeria,Ogun,Ogun waterside,ABIGI,1491.1350970000,6394,694,249,66.099999999999994,55,72,144,86,none,none,grid,27370
35025,2.859050674017734,6.486958724186126,Nigeria,Ogun,Ipokia,MAUNI II,1998.1210310000,6401,629,333,61.200000000000003,134,164,328,176,none,mini-grid,intercon,7330
35026,3.574140090659105,7.219787840945713,Nigeria,Ogun,Odeda,ODEDA,1329.2404300000,6402,671,222,70.299999999999997,53,64,152,79,none,none,grid,6690
35027,2.899399733329213,7.510588944882001,Nigeria,Ogun,Imeko-Afon,OKE AGBEDE/MORIWI/MATALE,1776.5809590000,6403,605,296,63.600000000000001,76,82,152,111,none,none,grid,12870
35028,3.569416720916509,7.200245266237431,Nigeria,Ogun,Odeda,BALOGUN ITESI,1618.9466770000,6404,671,270,66.200000000000003,65,80,144,99,none,none,grid,7600
35030,3.050483082172952,7.437556104889108,Nigeria,Ogun,Imeko-Afon,IMALA - IDIEMI,1900.1321530000,6406,623,317,63.100000000000001,79,80,176,111,none,mini-grid,intercon,11120
35032,3.029013076554415,7.547868614369058,Nigeria,Ogun,Imeko-Afon,OLORUNDA/GBOMO,1346.2819740000,6408,605,224,66.299999999999997,56,62,128,80,none,none,grid,19750
35033,2.772193174365973,7.608141054891345,Nigeria,Ogun,Imeko-Afon,IWOYE/JABATA,1653.0297650000,6409,640,276,65.900000000000006,66,82,152,97,none,none,grid,9350
35042,3.912383679934687,7.021070669384026,Nigeria,Ogun,Ijebu North,ORU/AWA/ILAPORU,1094.9192000000,6418,686,182,65.099999999999994,57,70,136,77,none,none,grid,14070
35045,4.119273226944475,6.819026904454416,Nigeria,Ogun,Ijebu East,ITELE,1329.2404300000,6421,693,222,59.600000000000001,86,108,208,113,none,mini-grid,intercon,8010
35051,4.277022178325465,6.782095392880167,Nigeria,Ogun,Ijebu East,AJEBANDELE,2509.3673500000,6427,596,418,66.700000000000003,102,116,232,146,none,mini-grid,intercon,9540
35054,3.004953392545219,7.351576064815464,Nigeria,Ogun,Abeokuta North,IDO FOI,3868.4304820000,6430,620,645,64.099999999999994,160,174,344,218,none,grid,grid,3700
35064,2.995578292713244,7.042186914604666,Nigeria,Ogun,Egbado North,IBESE,2862.9793870000,6440,614,477,62.299999999999997,145,164,320,188,none,grid,grid,4680
35069,2.881470346298464,6.896544103319859,Nigeria,Ogun,Egbado North,EBUTE IGBOORO,2424.1596300000,6445,604,404,65.900000000000006,120,158,312,173,none,grid,grid,5260
35076,2.819682964342138,6.55257143421417,Nigeria,Ogun,Ipokia,IPOKIA  I,1320.7196580000,6452,684,220,63.200000000000003,66,78,152,87,none,grid,grid,3440
35081,3.507438916262406,7.005031410549655,Nigeria,Ogun,Obafemi-Owode,MOLOKO-ASIPA,1099.1795860000,6457,668,183,66.500000000000000,54,68,144,79,none,none,grid,2930
35084,2.930374801470935,7.154256974895325,Nigeria,Ogun,Egbado North,SUNWA,1295.1573420000,6460,673,216,66.299999999999997,52,54,136,78,none,none,grid,17550
35100,2.816193288904945,7.570288779993762,Nigeria,Ogun,Imeko-Afon,OKE AGBEDE/MORIWI/MATALE,1955.5171710000,6476,599,326,67.000000000000000,73,96,184,114,none,grid,grid,9250
35102,3.073478959207996,7.239823942179561,Nigeria,Ogun,Abeokuta North,IDO FOI,937.2849186000,6478,625,156,62.600000000000001,51,60,112,65,none,none,grid,5340
35104,3.06937159537528,7.068721321900063,Nigeria,Ogun,Egbado North,IMASAI,2177.0572420000,6480,633,363,63.700000000000003,111,132,264,154,none,grid,grid,4860
35107,2.925764345491791,7.230296735700245,Nigeria,Ogun,Egbado North,IDO FOI,1303.6781140000,6483,609,217,69.299999999999997,55,68,120,73,none,none,grid,13130
35110,2.85013141643105,6.910180453948291,Nigeria,Ogun,Egbado North,EBUTE IGBOORO,3783.2227620000,6486,598,631,62.200000000000003,262,318,584,322,none,grid,grid,3440
35116,3.340448250213198,7.217255304822047,Nigeria,Ogun,Abeokuta North,ILUGUN/IBEREKODO,1384.6254480000,6492,660,231,57.000000000000000,92,96,200,110,none,none,grid,8160
35123,2.790426874408266,7.089776724556346,Nigeria,Ogun,Egbado North,OHUNBE,1312.1988860000,6499,598,219,71.099999999999994,55,62,144,74,none,grid,grid,25030
35142,2.869321313550548,7.581354714916848,Nigeria,Ogun,Imeko-Afon,OKE AGBEDE/MORIWI/MATALE,1823.4452050000,6518,605,304,66.000000000000000,75,92,168,108,none,none,grid,15770
35143,2.867312933809792,6.896153774460024,Nigeria,Ogun,Egbado North,EBUTE IGBOORO,1320.7196580000,6519,604,220,69.500000000000000,87,106,312,111,none,grid,grid,3710
