Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
32306,6.366499142115125,9.635659632957593,Nigeria,Niger,Bosso,KAMPALA,1176.9733550000,1826,442,203,68.599999999999994,56,84,168,81,none,grid,grid,3390
32310,6.346186672792925,9.627303594549131,Nigeria,Niger,Bosso,KAMPALA,3530.9200650000,1830,442,609,67.599999999999994,141,160,320,215,none,grid,grid,5760
32316,6.318176878242719,9.52656284941931,Nigeria,Niger,Bosso,KODO,1239.4250020000,1836,442,214,70.400000000000006,51,62,128,79,none,grid,grid,19550
32319,6.226585219730862,9.705266211386499,Nigeria,Niger,Bosso,KATO,1739.0381820000,1839,423,300,72.900000000000006,87,122,264,115,mini-grid,intercon,intercon,13650
32320,6.251571425659546,9.659831199596805,Nigeria,Niger,Bosso,KODO,1642.9587240000,1840,423,283,65.299999999999997,117,160,328,143,none,grid,grid,17560
32321,6.213443643034045,9.499088642267594,Nigeria,Niger,Katcha,KODO,1297.0726770000,1841,415,224,69.400000000000006,57,62,120,81,none,none,grid,15980
32329,6.510395170054712,9.74431706582074,Nigeria,Niger,Bosso,SHATA,4208.2802410000,1849,318,726,65.500000000000000,182,174,408,282,none,grid,grid,8130
32340,5.671462489251449,9.083582181377361,Nigeria,Niger,Edati,ETSU TASHA,3338.7611500000,1860,380,576,69.400000000000006,143,156,328,208,mini-grid,mini-grid,intercon,10940
32349,5.784724376589119,8.974816242963447,Nigeria,Niger,Edati,GAZHE  I,1546.8792660000,1869,386,267,66.299999999999997,87,96,192,112,none,none,grid,8550
32372,5.495395908208283,9.070647511701551,Nigeria,Niger,Edati,ROKOTA,1052.0700600000,1892,373,181,75.099999999999994,58,72,176,79,none,none,grid,6310
32376,5.63210567948379,9.130626221923775,Nigeria,Niger,Edati,SAKPE,2046.4924460000,1896,380,353,70.599999999999994,95,104,200,128,none,none,grid,6170
32379,6.031359368367794,8.819497455489213,Nigeria,Niger,Edati,BUSU/KUCHI,1974.4328530000,1899,403,340,65.000000000000000,93,114,232,124,none,none,grid,9700
32390,5.961815248377155,9.120937411585583,Nigeria,Niger,Gbako,EDOKOTA,3391.6048520000,1910,397,585,64.599999999999994,231,276,576,295,none,grid,grid,4540
32405,5.884981081476685,9.083327505775669,Nigeria,Niger,Gbako,EDOZHIGI,1191.3852730000,1925,390,205,64.299999999999997,56,48,112,75,none,grid,grid,5610
32413,6.040998407648305,9.221239765654754,Nigeria,Niger,Gbako,ETSU AUDU,1234.6210290000,1933,407,213,68.799999999999997,71,122,216,92,none,grid,grid,1970
32445,6.847898972106505,9.333943299325709,Nigeria,Niger,Lapai,BONU,2795.9122150000,1965,338,482,74.599999999999994,126,172,384,176,mini-grid,intercon,intercon,18230
32446,7.211950496474171,9.335432333065437,Nigeria,Niger,Gurara,DIKO,2003.2566900000,1966,352,345,69.000000000000000,83,96,192,135,none,none,grid,5100
32448,7.234535285273893,9.344172111087484,Nigeria,Niger,Gurara,DIKO,1883.1573680000,1968,352,325,65.700000000000003,124,148,352,160,none,none,grid,3870
32449,7.192283877002881,9.357145617544546,Nigeria,Niger,Gurara,KABO,1513.2514560000,1969,352,261,74.299999999999997,63,76,176,89,none,none,grid,8600
32454,7.020790769298128,9.287912903446109,Nigeria,Niger,Gurara,LAMBATA,2440.4182220000,1974,348,421,70.500000000000000,102,114,248,147,none,grid,grid,2950
32458,6.748272467702201,9.207730879946844,Nigeria,Niger,Lapai,LEFU,1902.3732590000,1978,334,328,70.099999999999994,85,122,248,122,none,mini-grid,intercon,18330
32460,7.177340861709816,9.476305001493827,Nigeria,Niger,Gurara,SHAKO,1662.1746160000,1980,352,287,71.400000000000006,68,80,176,102,none,none,grid,21630
32469,6.198735507745252,9.25809426597568,Nigeria,Niger,Katcha,BISANTI,2752.6764590000,1989,426,475,67.400000000000006,110,122,248,176,none,grid,grid,2160
32473,6.174449822955545,8.966145236624548,Nigeria,Niger,Katcha,DZWAFU,1825.5096930000,1993,424,315,67.900000000000006,74,82,176,116,none,none,grid,3100
32474,6.207019015626796,9.031940975446272,Nigeria,Niger,Katcha,DZWAFU,1205.7971920000,1994,428,208,64.700000000000003,52,48,104,73,none,none,grid,1790
32480,6.228945976295964,9.194115381204366,Nigeria,Niger,Katcha,ESSA,1263.4448670000,2000,434,218,70.299999999999997,59,70,128,80,none,none,grid,2900
32483,6.204061032792326,9.168434513723776,Nigeria,Niger,Katcha,ESSA,1220.2091110000,2003,430,210,72.599999999999994,55,58,144,79,none,none,grid,4390
32508,5.472531943105616,10.294692497306848,Nigeria,Niger,Kontagora,NAGWAMATSE,1527.6633750000,2028,375,263,71.200000000000003,74,112,216,102,none,none,grid,7500
32526,6.634180917130408,8.997459668082387,Nigeria,Niger,Lapai,BIRNIN MAZA/TASHIBO,6355.6561180000,2046,328,1096,72.099999999999994,268,324,760,389,none,none,grid,8100
32529,6.565190450277576,8.481571886343284,Nigeria,Niger,Lapai,EBBO/GBACINKU,1335.5044600000,2049,451,230,56.000000000000000,69,64,144,86,none,mini-grid,intercon,28580
32531,6.622070939272168,8.405320337903197,Nigeria,Niger,Lapai,EBBO/GBACINKU,1955.2169610000,2051,451,337,69.400000000000006,88,90,192,118,none,mini-grid,intercon,39390
32553,6.680181608190949,8.371337265765234,Nigeria,Niger,Lapai,GUPA/ABUGI,1152.9534900000,2073,451,199,55.000000000000000,56,62,104,87,none,mini-grid,intercon,48700
32558,6.765470030626577,8.819199560913139,Nigeria,Niger,Lapai,GURDI/ZAGO,1335.5044600000,2078,-,230,81.900000000000006,81,136,328,107,mini-grid,mini-grid,mini-grid,38340
32559,6.611479181595324,8.793711711567095,Nigeria,Niger,Lapai,GURDI/ZAGO,1104.9137620000,2079,328,191,70.500000000000000,56,84,168,77,none,mini-grid,intercon,31840
32563,6.680270100472352,8.292578814432673,Nigeria,Niger,Lapai,MUYE/EGBA,3737.4908990000,2083,451,644,71.299999999999997,157,168,400,241,none,mini-grid,intercon,54300
32572,6.63428636629638,9.097729145749112,Nigeria,Niger,Lapai,TAKUTI/SHAKU,2281.8871170000,2092,329,393,75.000000000000000,113,148,320,140,none,none,grid,5210
32574,6.675937770416355,9.12347765374202,Nigeria,Niger,Lapai,TAKUTI/SHAKU,2214.6314970000,2094,329,382,71.400000000000006,94,114,216,141,none,none,grid,10160
32575,6.795114679184558,9.345717543444243,Nigeria,Niger,Lapai,TAKUTI/SHAKU,1133.7375990000,2095,338,195,70.200000000000003,75,90,248,93,none,grid,grid,6220
32594,6.006253983263846,8.906931927645115,Nigeria,Niger,Edati,DOKO,1647.7626970000,2114,402,284,74.599999999999994,68,78,192,101,none,grid,grid,2440
