,Unnamed: 0,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m,demand_cat_4,demand_cat_2
1397,1544,36,40513,5.33617601,12.34264639,Nigeria,Sokoto,Tureta,ZAUMA,975.4166528,6643,-,199,67.3,59,64,152,88,mini-grid,mini-grid,mini-grid,35760,2,0
1398,687,384,33594,7.125001236,9.372939546,Nigeria,Niger,Gurara,SHAKO,975.2064943,3114,352,168,72.2,52,78,160,68,none,mini-grid,intercon,22470,2,0
1399,570,267,32171,6.428054798,8.586726335,Nigeria,Niger,Lapai,EBBO/GBACINKU,975.2064943,1691,451,168,73.8,56,108,224,75,none,none,grid,7020,2,0
1400,2031,523,41795,6.578558328,13.35828799,Nigeria,Sokoto,Sabon Birni,YANFAKO,973.054756,7925,74,199,71.9,59,66,160,75,none,mini-grid,intercon,25090,2,0
1401,1776,268,40997,6.105118726,13.3640417,Nigeria,Sokoto,Sabon Birni,UNGUWAR LALLE,973.054756,7127,61,199,65.5,63,62,136,80,none,none,grid,23840,2,0
1402,1844,336,41152,6.249846839,13.52733503,Nigeria,Sokoto,Sabon Birni,KURUWA,973.054756,7282,65,199,68.9,59,66,144,79,none,none,grid,13000,2,0
1403,1985,477,41564,5.686312986,13.64876515,Nigeria,Sokoto,Gada,KWARMA,973.054756,7694,36,199,70.3,63,66,160,80,none,none,grid,9160,2,0
1404,1932,424,41301,5.777459807,13.68467307,Nigeria,Sokoto,Gada,KADDI,971.5725907,7431,51,198,62.6,62,62,120,88,none,mini-grid,intercon,6810,2,0
1405,336,33,31369,6.133783495,8.933760735,Nigeria,Niger,Katcha,SIDI SABA,970.4025214,889,420,167,65.8,51,62,120,76,none,none,grid,3090,2,0
1406,522,219,31973,5.084934729,10.4088544,Nigeria,Niger,Magama,NASKO,969.6152775,1493,422,167,73.5,50,46,104,61,none,none,grid,7090,2,0
1407,21,21,10291,8.644764221,5.34792548,Nigeria,Cross River,Akamkpa,OBAN,969.3294814,101,579,285,57.3,85,96,168,116,none,none,grid,6230,3,0
1408,1393,145,34450,3.01013642,6.840841518,Nigeria,Ogun,Egbado South,IWOYE,967.1076206,5826,621,161,62.1,51,58,112,67,none,none,grid,4820,2,0
1409,841,137,38430,9.732334884,9.4516564,Nigeria,Plateau,Kanke,AMPER SERI,966.0589646,3763,311,182,67.6,61,94,184,89,none,mini-grid,intercon,12510,2,0
1410,958,254,38742,9.072088784,9.700972161,Nigeria,Plateau,Barikin Ladi,FURSUM,965.7674098,4075,244,182,69.7,50,50,112,68,none,none,grid,18300,2,0
1411,284,284,10947,8.8494162,6.427460784,Nigeria,Cross River,Boki,OKU/BORUM/NJUA,964.7355028,757,465,284,62.8,84,110,200,121,none,grid,grid,6930,3,0
1412,257,257,10896,8.499583602,6.604521304,Nigeria,Cross River,Yala,OKPOMA,964.7355028,706,555,284,69.2,68,84,152,103,none,none,grid,13040,3,0
