,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
786,82,38302,10.260836932332705,8.955568975194984,Nigeria,Plateau,Wase,KADARKO,1114.996776,3635,0,210,69.1,52,62,128,76,none,mini-grid,mini-grid,45750
339,36,31379,5.808642752700033,8.947061684926886,Nigeria,Niger,Edati,GAZHE  I,1114.521707,899,386,192,65.5,68,100,184,90,mini-grid,mini-grid,intercon,12190
659,356,33110,6.716858863666809,10.109004972799871,Nigeria,Niger,Shiroro,ERANA,1114.521707,2630,333,192,71.8,51,54,120,67,none,none,grid,4210
1042,338,38962,9.147614906132436,9.333961657783249,Nigeria,Plateau,Mangu,KERANG,1112.181128,4295,259,210,71.6,52,58,128,73,none,grid,grid,5260
1220,516,39771,8.959782170915508,9.53733616653456,Nigeria,Plateau,Barikin Ladi,LOBIRING,1112.181128,5104,250,210,75.09999999999998,51,58,152,75,none,grid,grid,2080
1997,489,41606,5.341386527415156,13.473549612817548,Nigeria,Sokoto,Gawabawa,SALAME,1112.062578,7736,166,227,68.3,51,56,120,78,none,none,grid,14370
877,173,38501,8.872837618295632,9.692586590962817,Nigeria,Plateau,Jos South,KURU \A\,1110.012842,3834,235,209,64.9,78,90,216,103,none,grid,grid,1630
404,101,31567,6.630909772416774,9.3647015482827,Nigeria,Niger,Pailoro,NIKUCHI T/MALLAM,1109.717734,1087,319,191,71.2,50,54,120,67,none,none,grid,8930
1460,212,34824,3.65134189353115,7.201564618120465,Nigeria,Ogun,Odeda,ODEDA,1107.700358,6200,671,185,63.9,54,68,128,80,none,none,grid,15260
1416,168,34578,4.06235070927801,6.963880991605067,Nigeria,Ogun,Ijebu North,OSUN,1107.700358,5954,691,185,64.3,66,100,192,84,none,grid,grid,11320
722,18,38209,9.77317409653712,8.55274633143538,Nigeria,Plateau,Langtang South,TIMBOL,1106.549831,3542,188,209,72.29999999999998,51,60,136,72,none,none,grid,24150
642,339,32759,5.1683987145478,9.503945031868705,Nigeria,Niger,Mashegu,DAPANGI/MAKERA,1104.913762,2279,325,191,66.9,59,66,144,80,none,none,grid,21240
628,325,32559,6.611479181595324,8.793711711567095,Nigeria,Niger,Lapai,GURDI/ZAGO,1104.913762,2079,328,191,70.5,56,84,168,77,none,mini-grid,intercon,31840
1263,15,33998,4.515012334058515,6.532779591574337,Nigeria,Ogun,Ogun waterside,AYESAN,1103.073911,5374,694,184,48.8,79,86,160,105,mini-grid,mini-grid,intercon,45790
1842,334,41150,5.460861135279441,13.514486118108836,Nigeria,Sokoto,Illela,DARNE/ TSOLAWO,1102.939083,7280,16,225,74.79999999999998,56,62,144,86,none,none,grid,4170
272,272,10921,8.577442482469182,6.761349263717259,Nigeria,Cross River,Yala,OBORU/OYE,1102.55486,731,574,324,70.0,78,94,184,109,none,none,grid,22550
1898,390,41250,5.643474644707354,13.613630488345851,Nigeria,Sokoto,Gada,SHINAKA,1101.636991,7380,36,225,71.7,57,54,128,75,none,none,grid,15290
1675,167,40772,5.762402933442254,13.074525060565906,Nigeria,Sokoto,Rabah,GANDI \A\,1101.558439,6902,40,225,69.2,52,58,120,78,none,none,grid,12430
